sample_type,sample_name,checkSum,filePath,type,conc,precursor_mz,product_mz,precursor_charge,ratio_to,rt_sec,polarity,product_rank,sampleAmount,id,scale,level2,rtShift,rtTolfc,chromId,r_loc,r_amp,cwt_min_width,cwt_max_width,cwt_length,cwt_index,cwt_diff,r_snr,mono_left,mono_right,f_scl,f_loc,f_amp,f_cor,f_std,f_mean,f_min,f_max,b_snr,g_auc,c_index,group
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,1000.0,200.0,154.0,1,(IS)2-Cl-phe-pos-1,91.2,1,1,1,(IS)2-Cl-phe-pos,2.19151,1,0,1,(IS)2-Cl-phe-pos,57.946,1461.5383933386797,1.0,11.0,11.0,112.0,-9.0,113.16878130209022,0.5,0.8333333333333334,3.1915099999999996,57.84296820122659,1351.4150298757295,0.964333440644647,311.0443285510714,-31.443661253576167,53.527,71.45440981894247,0.2543515063412871,11836.57519911515,1,(IS)2-Cl-phe-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,1000.0,200.0,154.0,1,(IS)2-Cl-phe-pos-1,91.2,1,1,1,(IS)2-Cl-phe-pos,2.19151,1,0,1,(IS)2-Cl-phe-pos,91.489,1423104.353071603,1.0,12.0,11.0,154.0,151.012,139252.4249101502,0.6666666666666666,1.0,1.7029272060126643,91.68559907360398,1391279.3648201772,0.9974080941918388,25023.584170539612,-9252.8020336103,84.42280050995812,98.94839763724984,247.66283084615947,6342239.033142249,1,(IS)2-Cl-phe-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,1000.0,200.0,154.0,1,(IS)2-Cl-phe-pos-1,91.2,1,1,1,(IS)2-Cl-phe-pos,2.19151,1,0,1,(IS)2-Cl-phe-pos,125.836,1961.5682385696878,1.0,12.0,11.0,189.0,-13.0,177.2443381316951,0.6666666666666666,0.8333333333333334,2.4280009108310905,126.27307674763034,1712.1390799502483,0.9627472640387563,157.74658173971622,-8.730881112675126,115.91791801538812,133.013,0.3413716933783002,12194.13123089997,1,(IS)2-Cl-phe-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,1000.0,200.0,154.0,1,(IS)2-Cl-phe-pos-1,91.2,1,1,1,(IS)2-Cl-phe-pos,2.19151,1,0,1,(IS)2-Cl-phe-pos,137.186,715.8598578332403,1.0,10.0,9.0,199.0,-10.0,68.34735865992967,0.5,0.5,1.6219296066113906,136.763739165431,637.577260066017,0.7939073216496243,153.8296728417033,-42.6698567676349,133.013,142.702,0.12458108113958469,3052.0115559017836,1,(IS)2-Cl-phe-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,1000.0,200.0,154.0,1,(IS)2-Cl-phe-pos-1,91.2,1,1,1,(IS)2-Cl-phe-pos,2.19151,1,0,1,(IS)2-Cl-phe-pos,151.012,1365.4627467922828,1.0,12.0,12.0,212.0,-23.0,111.54766871393394,0.6666666666666666,0.5,2.1234105128909433,150.98165516786193,1315.106827826183,0.9731858952611014,218.05431464997918,-95.99669819219555,142.702,160.03776911601162,0.23763146290406595,7472.118503104621,1,(IS)2-Cl-phe-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,95.139,1320.79470893726,1.0,12.0,11.0,26.0,59.0,122.86351617300458,0.6666666666666666,0.6666666666666666,2.4591200000000004,95.09354144080353,841.5636341416624,0.8753606010995704,211.9571854496079,46.51646144933829,84.60566319164954,105.58141968995753,12.320703237632666,8311.550580583262,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,124.82900000000001,636.1025215196703,1.0,8.0,7.0,56.0,6.0,59.39558128323881,0.5,0.5,4.4591199999999995,123.82900000000002,412.0753076924877,0.6417336008638026,147.08696677499745,-109.05032269007343,105.682,128.894,5.933723343470772,7154.782249572065,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,131.97,821.2080004338387,1.0,10.0,9.0,62.0,23.0,77.02090092448799,0.5,0.8333333333333334,2.4591200000000004,131.56784421592457,621.1890307549384,0.9144701910058516,120.09896046408898,23.831635186018683,128.894,142.05572246507856,7.660433526309394,5167.7310535847355,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,156.84799999999998,922351.0905552694,1.0,12.0,11.0,85.0,223.447,88685.44857223183,0.6666666666666666,1.0,2.5199793743606658,156.90850959549041,903255.108772919,0.9941481505725062,26910.80231699437,-6204.452361940973,146.16107276090165,166.569,8603.921556274296,5941989.65493958,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,177.905,6668.0079269557355,1.0,5.0,4.0,107.0,-9.0,557.9330286685955,0.3333333333333333,0.8333333333333334,4.4591199999999995,176.90500000000003,6668.007926955735,0.3842501938025809,26910.80231699437,-6204.452361940973,166.569,188.96200000000002,62.20084491427674,75000.7163024796,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,193.438,1232.1136448699012,1.0,12.0,11.0,123.0,-12.0,120.45652932596798,0.6666666666666666,0.8333333333333334,2.5164548133012254,193.8531343111199,1114.1832064227212,0.9416979870782173,186.60930016487148,21.253086355427985,188.96200000000002,198.32999999999998,11.49346410214994,7926.884068395077,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,202.207,540.4782217005946,1.0,4.0,4.0,133.0,-6.0,38.26152321639513,0.3333333333333333,0.6666666666666666,2.6267703481446816,201.20700000000002,493.4577590674052,0.9457259152920195,186.60930016487148,21.253086355427985,198.32999999999998,204.35299999999998,5.041715969118695,3623.7479309642836,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,208.285,675.6364060042637,1.0,8.0,7.0,143.0,-16.0,50.674425436884334,0.5,0.6666666666666666,2.4591200000000004,207.48721588506442,406.96807703679036,0.8466253340815065,139.056204794241,7.191693614270789,204.35299999999998,209.706,6.30250530123425,4251.672212638062,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,211.813,567.4802972723975,1.0,3.0,3.0,147.0,-4.0,36.80894175294323,0.3333333333333333,0.6666666666666666,2.4591200000000004,211.9871620634227,291.59321849639036,0.9785425549150207,139.056204794241,7.191693614270789,209.706,214.561,5.2935980804484695,3571.0630594962545,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,66.1,1,(IS)Betaine-d9-pos-1,157.2,1,1,1,(IS)Betaine-d9-pos,3.45912,1,0,1,(IS)Betaine-d9-pos,218.636,611.4629790640608,1.0,6.0,6.0,159.0,6.0,54.95325275245017,0.6666666666666666,0.6666666666666666,4.4591199999999995,218.99190380231664,481.97697373239254,-0.009934365557749285,267.41536733636923,-21.08822943884286,214.561,238.00956363931832,5.703879531671375,6877.640507423633,2,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,68.1,1,(IS)Betaine-d9-pos-1,157.2,1,2,1,(IS)Betaine-d9-pos,3.43247,1,0,1,(IS)Betaine-d9-pos,79.423,1204.5537692962293,1.0,11.0,10.0,8.0,12.0,106.6252195270695,0.6666666666666666,0.6666666666666666,2.4324700000000004,79.49170368361452,790.0310141304931,0.7982594480896635,205.15807614827813,2.9177479512972164,69.1174847741186,84.52000000000001,inf,7501.333526627665,3,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,68.1,1,(IS)Betaine-d9-pos-1,157.2,1,2,1,(IS)Betaine-d9-pos,3.43247,1,0,1,(IS)Betaine-d9-pos,90.592,2234.2332391514874,1.0,12.0,11.0,20.0,20.0,220.87001394823113,0.6666666666666666,0.6666666666666666,2.4324700000000004,90.27003930949823,1969.6410305574525,0.9423407607643054,317.01547863610483,80.40997250826778,84.52000000000001,96.066,inf,13913.64099333232,3,(IS)Betaine-d9-pos
seed,CCM-test-20250812-Cal-15-hilic-test01 (2).mzML,57f8d62d1286acfd8041a8b0f45d3b0a8591376e,/home/ddflow/share/gaoba/CCM/test_ddf/CCM-test-20250812-Cal-15-hilic-test01 (2).mzML.hdf5,IS,100.0,127.3,68.1,1,(IS)Betaine-d9-pos-1,157.2,1,2,1,(IS)Betaine-d9-pos,3.43247,1,0,1,(IS)Betaine-d9-pos,102.685,633.3146142530213,1.0,7.0,6.0,34.0,6.0,58.735750888941595,0.5,0.3333333333333333,3.882420048075762,103.17865420292291,458.7683694197655,0.6547821097443615,166.4058857863739,0.8022424711761162,96.066,104.683,inf,6214.604763244986,3,(IS)Betaine-d9-pos
